a,b,ratio,sd_q,sd_lb,b_budget,drop_DUB,drop_HTA,sd_qz
MIL,VIR,0.8156163452583336,10.137444408988635,0.43623813895358304,0.2946739371391872,0,0,0.8883517600241939
MIL,ZAL,0.7183694353801445,10.028263334887784,0.4415474343564489,0.3955244638684271,0,0,0.6999314801529011
MUN,OLY,0.8309253848340099,8.574387631556212,0.4227410218712467,0.3401980143941247,0,0,-1.8091083802423904
MUN,PAM,0.728662917794792,9.664994602075527,0.4363380738387126,0.42314845259380285,0,0,0.0730170000686489
MUN,PAN,0.8060650996242431,9.75220027388433,0.40539119332411294,0.3235514722668209,0,0,0.22351301985868244
MUN,PAR,0.790621213852977,9.38770513254691,0.4425264201136799,0.3287800947572929,0,0,-0.4055179464339239
MUN,PRS,0.838922567568848,9.77151142553368,0.4264209386562572,0.26571871056755847,0,0,0.25683942398478893
MUN,RED,0.8108687198321193,9.754279653965861,0.43938856872553833,0.32549637315339935,0,0,0.2271015298650864
MUN,TEL,0.8068321938518285,9.780981111071291,0.435090284988808,0.32391749044367796,0,0,0.27318182411213876
MUN,ULK,0.8640268551874328,9.604379450594111,0.43938856872553833,0.23714429238659523,0,0,-0.03159017567702554
MUN,VIR,0.8308046935321709,9.734778347907458,0.4264209386562572,0.29498022807009255,0,0,0.19344696495408337
MUN,ZAL,0.7389688789593506,9.65190140620931,0.4321504615825998,0.39333308101009223,0,0,0.05042129243489302
OLY,PAM,0.7306402983384123,8.75763628414647,0.4250724805323422,0.42965514027153334,0,0,-1.4928652704228236
OLY,PAN,0.8246886991923842,8.888244894786668,0.3853744021371501,0.3292216294924491,0,0,-1.2674662150178992
OLY,PAR,0.7970587295058658,8.652536426314725,0.42851347105866916,0.33481860988342194,0,0,-1.6742423523958243
OLY,PRS,0.8469720840812061,8.923993729044856,0.41610953814372037,0.2656164670432515,0,0,-1.2057723233661437
OLY,RED,0.8236172328770627,8.891786147924988,0.4243725791321751,0.3303240527757083,0,0,-1.2613548636421021
OLY,TEL,0.815830947457061,8.953677361979587,0.4239776163169737,0.32571150731704956,0,0,-1.1545455107411606
OLY,ULK,0.8696755051435051,8.846101925862895,0.4243725791321751,0.24253539840121158,0,0,-1.340194845548588
OLY,VIR,0.8402946443622022,8.946677698072103,0.41610953814372037,0.29579876107999087,0,0,-1.166625247484132
OLY,ZAL,0.7417292344874475,8.739372533173276,0.4213504771909674,0.3969840381967661,0,0,-1.5243841128431692
PAM,PAN,0.7089813233111362,10.00817754011903,0.40774204066651715,0.41744757553872563,0,0,0.6652682282758393
