player_code,player_name,position
6591,"NTILIKINA, FRANK",G
6599,"MOTUM, BROCK",F
6614,"SINGLETON, CHRIS",F
6625,"ZOOSMAN, YOVEL",F
6640,"OZDEMIROGLU, DOGUS",G
6643,"PUERTO, JOSEP",F
6661,"WILBEKIN, SCOTTIE",G
6693,"SAYBIR, YIGITCAN",F
6701,"BORTOLANI, GIORDANO",G
6710,"KHOMENKO, ALEXANDER",G
6721,"CARUSO, GUGLIELMO",C
6739,"PAJOLA, ALESSANDRO",G
6754,"HENRY, PIERRIA",G
6760,"BONGA, ISAAC",F
6768,"MARTINEZ, SERGI",F
6819,"NIKIC, KRESIMIR",C
6835,"HOARD, JAYLEN",F
6919,"OLINDE, LOUIS",F
6961,"BIBEROVIC, TARIK",F
7,"DEDOVIC, NIHAD",F
7025,"MATTISSECK, JONAS",G
7027,"MALEDON, THEO",G
7029,"SIRVYDIS, DEIVIDAS",F
7032,"LO, MAODO",G
7050,"CLARKE, COTY",F
7056,"BOOKER, DEVIN",C
7109,"SMITS, ROLANDS",F
7125,"SIVA, PEYTON",G
7182,"BIRCH, KHEM",C
7200,"LARKIN, SHANE",G
7201,"VOIGTMANN, JOHANNES",C
7230,"SEDEKERSKIS, TADAS",F
726,"MORASCHINI, RICCARDO",G
7265,"KURUCS, ARTURS",G
7360,"ERIC, MICHAEL",C
7400,"NUNNALLY, JAMES",F
7432,"EVANS, JEREMY",F
7464,"PARRA, JOEL",F
7513,"GIEDRAITIS, DOVYDAS",G
7519,"JOKUBAITIS, ROKAS",G
7524,"VENSKUS, ERIKAS",F
7527,"BADIO, BRANCOU",G
7550,"SAMAR, ZIGA",G
7553,"BALCEROWSKI, ALEKSANDER",C
7566,"BRENNEKE, LORENZ",F
7579,"SAMANIC, LUKA",F
7630,"GARUBA, USMAN",F
7632,"NAKIC, MARIO",F
7639,"BRANKOVIC, DANKO",C
7673,"TRIFUNOVIC, UROS",G
7675,"AVDIJA, DENI",F
7736,"LAKIC, ARIJAN",G
7768,"LEVI, NIMROD",F
7831,"SHIELDS, SHAVON",F
7851,"TRUSHKIN, VLADISLAV",F
7853,"MCKISSIC, SHAQUIELLE",G
7865,"ANTETOKOUNMPO, THANASIS",F
7866,"MITOGLOU, KONSTANTINOS",F
7869,"SANT-ROOS, HOWARD",F
7870,"DAVIES, BRANDON",C
7929,"BITIM, ONURALP",F
7942,"REYNOLDS, JALEN",C
7946,"THEODORE, JORDAN",G
7947,"VILDOZA, LUCA",G
7948,"AUGUSTE, ZACH",C
796,"MIROTIC, NIKOLA",F
7960,"DAVIDOVAC, DEJAN",F
7975,"FRANCISCO, SYLVAIN",G
7982,"WILLIAMS-GOSS, NIGEL",G
7989,"COLE, NORRIS",G
7990,"DIBARTOLOMEO, JOHN",G
7992,"JEFFERSON, CORY",F
7993,"M'BAYE, AMATH",F
7994,"GARINO, PATRICIO",F
8001,"GILL, ANTHONY",F
8002,"MCCALLUM, RAY",G
8003,"ROBINSON, THOMAS",F
8004,"TARCZEWSKI, KALEB",C
