player_code,season,ppm_hat,ppm_sd,gap,ppm_lag_shrunk,ppm_actual
13699,2025,0.46073511010804075,0.08099629943579419,1.0,0.4527009553783314,0.4358453068963154
1518,2025,0.25764136949890426,0.09113715979724325,1.0,0.32712645124570255,0.2693026983702912
1557,2025,0.3199467605773504,0.0838422509164315,1.0,0.36986434828081716,0.2789488199834522
1844,2025,0.23076652844658005,0.08989337986792524,1.0,0.31405966906502114,0.3067874210473549
1926,2025,0.5164569397915149,0.07574806652050738,1.0,0.5192443928716999,0.596265428842705
1932,2025,0.3449229929762089,0.08211731216106515,1.0,0.3925471484008899,0.3086126408184944
2100,2025,0.5533787450385944,0.07760848214461298,1.0,0.5594360494293463,0.7389514510257544
229,2025,0.2272925501348052,0.09140520767895585,1.0,0.3079749614181244,0.27254832685610464
2328,2025,0.3859020904066309,0.10522568505275394,1.0,0.4283803459824967,0.024752475247524747
2329,2025,0.37134311062172815,0.07434877337152938,1.0,0.3960444903961128,0.3418518165347574
2580,2025,0.5550387592083519,0.06245812810872891,3.0,0.5221592770882499,0.45358896422726225
2661,2025,0.36462093307163745,0.08198277268503162,3.0,0.4066139691497295,0.24786560176259978
2676,2025,0.31616448695255,0.07496731231668112,1.0,0.3548057021644416,0.43200919867495274
2849,2025,0.3746726790182773,0.0850865437303222,1.0,0.41428389279593625,0.42802882742500975
2939,2025,0.42336067018409107,0.07282446652354789,1.0,0.4401406343873919,0.44440224100275366
2968,2025,0.3959855220512614,0.093316359882927,1.0,0.437868152035055,0.18220467658669906
2969,2025,0.35651863154891067,0.15396501085029513,1.0,0.4293808326885404,0.023932987634623044
3048,2025,0.3239366572516303,0.08935285049024798,1.0,0.39074840397416866,0.4298379152861108
3091,2025,0.39373503931895204,0.19625847171262292,1.0,0.45175148803455445,0.2371980974735932
3108,2025,0.5258997516043319,0.06758825945962921,1.0,0.5018424571938482,0.5291844217619661
3196,2025,0.5506333233036139,0.09015532661941511,1.0,0.5519835709002652,0.5067801643076314
3469,2025,0.7759394988894168,0.06339238793477686,1.0,0.6918059347714169,0.8148877714996631
3526,2025,0.20368553277196885,0.07996094825964689,1.0,0.2816097974376951,0.21214676204204855
3527,2025,0.30479259745967807,0.10183136675579996,2.0,0.3686861805870862,0.14378098020549523
3733,2025,0.34025621791876176,0.08200328021814851,1.0,0.3726078637524034,0.25942913903415227
3842,2025,0.6616168502915493,0.06798727770594781,1.0,0.6103971183294694,0.6185567010309279
3941,2025,0.6188815003368421,0.07944541400806038,1.0,0.5944987225008904,0.9197357231634721
3983,2025,0.4391925329720493,0.08179460303049668,2.0,0.45880774136129954,0.5821353865325559
4004,2025,0.5148217502666449,0.07475938769577344,1.0,0.502968066618439,0.5055742805289085
4007,2025,0.2929593087448348,0.10539420999362241,1.0,0.35395616450199185,0.3583808863527279
4088,2025,0.3756691907110657,0.08248246926741884,1.0,0.40288138109453014,0.4573136972649762
4132,2025,0.5357289399679387,0.07170667452365276,1.0,0.5256761780524857,0.6050911114202253
4161,2025,0.33853091344735825,0.12680816165482642,8.0,0.4069066185497853,-0.6703910614525139
4197,2025,0.2504742539329722,0.09246690266979096,1.0,0.3195729404626634,0.2515210619778172
4292,2025,0.3559372035705679,0.15714019663678086,8.0,0.4243211589667046,0.29702970297029707
4508,2025,0.3358118217735493,0.07141819509164168,1.0,0.3541710718186608,0.4524287147155754
4512,2025,0.24117681992683754,0.11434868378152768,1.0,0.3104369652108634,-0.06898534061511928
4655,2025,0.41352360042001407,0.08986566012650994,3.0,0.44421500286287646,0.27622097678142515
4761,2025,0.31187289526837353,0.0734281602335008,1.0,0.33444278899850133,0.20290227301913444
4863,2025,0.386894678231533,0.08582956988135727,2.0,0.43105514386628874,0.413026965438663
4866,2025,0.41972866019525973,0.06755815005435901,1.0,0.42682164982691395,0.2787061689231292
